Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCF_000277835.1	GeoFor_1.0	Geospiza fortis						female	NCBI Annotation Release 102	1065292181	Scaffold	2012-07-25	AKZB01
GCA_000705375.2	ASM70537v2	Tinamus guttatus					BGI_N309	female	Annotation submitted by BGI	1047056493	Scaffold	2014-08-05	JMFW02
GCF_000705375.1	ASM70537v2	Tinamus guttatus					BGI_N309	female	NCBI Annotation Release 100	1047056493	Scaffold	2014-08-05	JMFW02
GCA_000699245.1	ASM69924v1	Pterocles gutturalis					BGI_N339	male	Annotation submitted by BGI	1069324295	Scaffold	2014-06-09	JMFR01
GCF_000699245.1	ASM69924v1	Pterocles gutturalis					BGI_N339	male	NCBI Annotation Release 100	1069324295	Scaffold	2014-06-09	JMFR01
GCA_000690715.1	ASM69071v1	Colius striatus					BGI_N325	male	Annotation submitted by BGI	1075931597	Scaffold	2014-05-13	JJRP01
GCF_000690715.1	ASM69071v1	Colius striatus					BGI_N325	male	NCBI Annotation Release 100	1075931597	Scaffold	2014-05-13	JJRP01
GCA_000691405.1	ASM69140v1	Haliaeetus albicilla					BGI_N329	male	Annotation submitted by BGI	1133549865	Scaffold	2014-05-15	JJRL01
GCF_000691405.1	ASM69140v1	Haliaeetus albicilla					BGI_N329	male	NCBI Annotation Release 100	1133549865	Scaffold	2014-05-15	JJRL01
GCA_000709365.1	ASM70936v1	Tauraco erythrolophus					BGI_N340	male	Annotation submitted by BGI	1155540733	Scaffold	2014-06-25	JNOY01
GCF_000709365.1	ASM70936v1	Tauraco erythrolophus					BGI_N340	male	NCBI Annotation Release 100	1155540733	Scaffold	2014-06-25	JNOY01
GCA_002372975.2	StrOccCau_2.0	Strix occidentalis caurina					Sequoia	female		1254451290	Scaffold	2021-04-12	NIFN02
GCA_001281735.1	ASM128173v1	Zosterops lateralis melanops								1036003386	Scaffold	2015-09-14	LAII01
GCA_027925045.1	Gokinawae_1.0	Hypotaenidia okinawae					2679A			1179509929	Scaffold	2022-12-22	BSDF01
GCA_024865655.1	ASM2486565v1	Emberiza elegans					AHU2021HF0102	male		1144568265	Scaffold	2022-09-02	JALJVW01
GCA_022605955.1	bRalLim1.0.p	Rallus limicola					171378401			1395579105	Scaffold	2022-03-17	JAKCOZ01
GCA_028536675.1	bAphCal1.0.hap1	Aphelocoma californica				California	MVZ Bird 193978	female		1348482404	Scaffold	2023-02-07	JAQMYR01
GCA_026167965.1	bCyaSte1.0.p	Cyanocitta stelleri				frontalis		female		1162948050	Scaffold	2022-11-14	JANXIP01
GCA_021534815.1	ASM2153481v1	Acrocephalus arundinaceus				Kvismaren, Sweden	Nicke	female		1200110597	Scaffold	2022-01-20	JAJEOU01
GCA_026170545.1	bMelFor1.0.p	Melanerpes formicivorus				bairdi		female		1323567838	Scaffold	2022-11-14	JANXIN01
GCA_003426825.1	eyr_v1	Eopsaltria australis					EYR054	female		1228344903	Scaffold	2018-08-23	QKXG01
GCA_019238085.1	USGS_WTPT01	Lagopus leucura					7727_CA_CO	male		1016020572	Scaffold	2021-07-15	JAHKMA01
GCF_019238085.1	USGS_WTPT01	Lagopus leucura					7727_CA_CO	male	NCBI Annotation Release 100	1016020572	Scaffold	2021-07-15	JAHKMA01
GCA_017639235.1	C.kubaryi_AGA036_p1.0	Corvus kubaryi					FWS band 111438036	male		1057484666	Scaffold	2021-03-30	JAEMUS01
GCF_017639235.1	C.kubaryi_AGA036_p1.0	Corvus kubaryi					FWS band 111438036	male	NCBI Annotation Release 100	1057484666	Scaffold	2021-03-30	JAEMUS01
GCA_003947215.1	ASM394721v1	Amazona collaria					JAMY3			1258720284	Scaffold	2018-12-14	RQIO01
GCA_004143745.1	ASM414374v1	Phasianus colchicus					SZU-A5-319	male		1017507340	Scaffold	2019-02-06	QCWP01
GCF_004143745.1	ASM414374v1	Phasianus colchicus					SZU-A5-319	male	NCBI Annotation Release 100	1017507340	Scaffold	2019-02-06	QCWP01
GCA_003342895.1	casCas1	Casuarius casuarius					B32419	female		1209001349	Scaffold	2018-07-26	PTFA01
GCA_001604755.1	Lepidothrix_coronata-1.0	Lepidothrix coronata					B3197	male		1079577334	Scaffold	2016-03-31	LVWP01
GCF_001604755.1	Lepidothrix_coronata-1.0	Lepidothrix coronata					B3197	male	NCBI Annotation Release 100	1079577334	Scaffold	2016-03-31	LVWP01
GCA_003676055.1	GouldianFinch	Chloebia gouldiae					Red01	male	Annotation submitted by CIBIO/InBIO Research Center in Biodiversity and Genetic Resources	1070785140	Scaffold	2018-10-23	QUSF01
GCA_014549065.1	CCar_1.0	Cardinalis cardinalis						male		1044723337	Scaffold	2020-09-15	JACDOX01
GCA_001431845.1	ASM143184v1	Calidris pugnax					Ruff			1229094286	Scaffold	2015-11-04	LDEH01
GCF_001431845.1	ASM143184v1	Calidris pugnax					Ruff		NCBI Annotation Release 100	1229094286	Scaffold	2015-11-04	LDEH01
GCA_002173455.1	ASM217345v1	Phalacrocorax auritus					PW-MI-E2	female		1246050644	Scaffold	2017-06-06	NFMC01
GCA_030028575.1	MMel_1.1	Malurus melanocephalus				Western Australia		male		1020668800	Scaffold	2023-05-17	JASDEY01
GCF_030028575.1	MMel_1.1	Malurus melanocephalus				Western Australia		male	GCF_030028575.1-RS_2023_06	1020668800	Scaffold	2023-05-17	JASDEY01
GCA_014363025.1	C_macrorhynchos_scaffold_01	Corvus macrorhynchos								1018435877	Scaffold	2020-08-22	BMBD01
GCA_013399435.1	ASM1339943v1	Arenaria interpres					B10K-DU-005-73	female	Annotation submitted by B10K Consortium	1124618860	Scaffold	2020-07-10	VXAK01
GCA_020917445.1	IEE_cmpg_Riparia_riparia_6505	Riparia riparia					SYSb006505	male		1093138471	Scaffold	2021-11-22	JAIXNV01
GCA_025727675.1	ASM2572767v1	Ciconia boyciana					SETZI3XW1M			1240662048	Scaffold	2022-10-17	JAODVK01
GCA_000708025.2	ASM70802v2	Charadrius vociferus					BGI_N301	female	Annotation submitted by BGI	1219859583	Scaffold	2014-08-05	JMFX02
GCF_000708025.1	ASM70802v2	Charadrius vociferus					BGI_N301	female	NCBI Annotation Release 100	1219859583	Scaffold	2014-08-05	JMFX02
GCA_013186435.1	ASM1318643v1	Turdus rufiventris						female	Annotation submitted by LNCC	1046948833	Scaffold	2020-05-28	PYHW01
GCA_000699145.1	ASM69914v1	Aptenodytes forsteri					BGI_AS27	male	Annotation submitted by BGI	1254347440	Scaffold	2014-06-06	JMFQ01
GCF_000699145.1	ASM69914v1	Aptenodytes forsteri					BGI_AS27	male	NCBI Annotation Release 101	1254347440	Scaffold	2014-06-06	JMFQ01
GCA_000747805.2	ChaPel_1.1	Chaetura pelagica					M959	female	Annotation submitted by BGI	1118724105	Scaffold	2014-09-04	AVOS01
GCF_000747805.2	ChaPel_1.1	Chaetura pelagica					M959	female	NCBI eukaryotic genome annotation pipeline	1118724105	Scaffold	2014-09-04	AVOS01
GCA_000332375.2	ASM33237v2	Amazona vittata					LU 182127	female		1446649664	Scaffold	2020-08-28	AOCU02
GCA_000687185.1	ASM68718v1	Egretta garzetta					BGI_Z169	male	Annotation submitted by College of Medicine and Forensics, Xi'an Jiaotong University	1206484573	Scaffold	2014-05-09	JJRC01
GCF_000687185.1	ASM68718v1	Egretta garzetta					BGI_Z169	male	NCBI Annotation Release 101	1206484573	Scaffold	2014-05-09	JJRC01
GCA_013400445.1	ASM1340044v1	Leiothrix lutea					B10K-DU-002-43	male	Annotation submitted by B10K Consortium	1058758629	Scaffold	2020-07-10	VXBY01
GCA_000696875.1	ASM69687v1	Nestor notabilis					BGI_N333	male	Annotation submitted by BGI	1053559886	Scaffold	2014-06-05	JJRH01
GCF_000696875.1	ASM69687v1	Nestor notabilis					BGI_N333	male	NCBI Annotation Release 100	1053559886	Scaffold	2014-06-05	JJRH01
GCA_027497715.1	ASM2749771v1	Accipiter nisus					ANSP 27991			1200068594	Scaffold	2022-12-30	JANBZV01
GCA_000691845.1	ASM69184v1	Merops nubicus					BGI_N331	female	Annotation submitted by BGI	1062961556	Scaffold	2014-05-16	JJRJ01
GCF_000691845.1	ASM69184v1	Merops nubicus					BGI_N331	female	NCBI Annotation Release 100	1062961556	Scaffold	2014-05-16	JJRJ01
GCA_000690535.1	ASM69053v1	Cariama cristata					BGI_N322	male	Annotation submitted by BGI	1132245425	Scaffold	2014-05-12	JJRQ01
GCF_000690535.1	ASM69053v1	Cariama cristata					BGI_N322	male	NCBI Annotation Release 100	1132245425	Scaffold	2014-05-12	JJRQ01
GCA_000690775.1	ASM69077v1	Eurypyga helias					BGI_N326	female	Annotation submitted by BGI	1088019637	Scaffold	2014-05-13	JJRO01
GCF_000690775.1	ASM69077v1	Eurypyga helias					BGI_N326	female	NCBI Annotation Release 100	1088019637	Scaffold	2014-05-13	JJRO01
GCA_000687285.1	ASM68728v1	Phaethon lepturus					BGI_N335	female	Annotation submitted by BGI	1152958507	Scaffold	2014-05-08	JJRF01
GCF_000687285.1	ASM68728v1	Phaethon lepturus					BGI_N335	female	NCBI Annotation Release 100	1152958507	Scaffold	2014-05-08	JJRF01
GCA_000695765.1	ASM69576v1	Mesitornis unicolor					BGI_N332	female	Annotation submitted by BGI	1087290853	Scaffold	2014-06-02	JJRI01
GCF_000695765.1	ASM69576v1	Mesitornis unicolor					BGI_N332	female	NCBI Annotation Release 100	1087290853	Scaffold	2014-06-02	JJRI01
GCA_000699105.1	ASM69910v1	Pygoscelis adeliae					BGI_AS28	male	Annotation submitted by BGI	1216600033	Scaffold	2014-06-06	JMFP01
GCF_000699105.1	ASM69910v1	Pygoscelis adeliae					BGI_AS28	male	NCBI Annotation Release 100	1216600033	Scaffold	2014-06-06	JMFP01
GCA_000700745.2	ASM70074v2	Antrostomus carolinensis					BGI_N321	male	Annotation submitted by BGI	1118829799	Scaffold	2014-06-10	JMFU01
GCF_000700745.2	ASM70074v2	Antrostomus carolinensis					BGI_N321	male	NCBI eukaryotic genome annotation pipeline	1118829799	Scaffold	2014-06-10	JMFU01
GCA_000687375.1	ASM68737v1	Pelecanus crispus					BGI_N334	male	Annotation submitted by BGI	1160924693	Scaffold	2014-05-09	JJRG01
GCF_000687375.1	ASM68737v1	Pelecanus crispus					BGI_N334	male	NCBI Annotation Release 100	1160924693	Scaffold	2014-05-09	JJRG01
GCA_000695195.1	ASM69519v1	Chlamydotis macqueenii					BGI_N324	male	Annotation submitted by BGI	1086566339	Scaffold	2014-06-02	JMFJ01
GCF_000695195.1	ASM69519v1	Chlamydotis macqueenii					BGI_N324	male	NCBI Annotation Release 100	1086566339	Scaffold	2014-06-02	JMFJ01
GCA_000695815.1	ASM69581v1	Acanthisitta chloris					BGI_N310	female	Annotation submitted by BGI	1035876403	Scaffold	2014-05-27	JJRS01
GCF_000695815.1	ASM69581v1	Acanthisitta chloris					BGI_N310	female	NCBI Annotation Release 100	1035876403	Scaffold	2014-05-27	JJRS01
GCA_027564015.1	ASM2756401v1	Gallinago gallinago					UWBM 82241			1232026665	Scaffold	2023-01-03	JAOQMJ01
GCA_026283635.1	ASM2628363v1	Ara macao					ANSP 187617			1219003621	Scaffold	2022-11-22	JANEYE01
GCA_009430485.1	ANU_Anthochaera_phrygia_1.0	Anthochaera phrygia				Blue Mountains		female		815187911	Scaffold	2019-10-31	VJPA01
GCA_000709895.1	ASM70989v1	Balearica regulorum gibbericeps					BGI_N312	male	Annotation submitted by BGI	1127605500	Scaffold	2014-06-25	JJRR01
GCF_000709895.1	ASM70989v1	Balearica regulorum gibbericeps					BGI_N312	male	NCBI Annotation Release 100	1127605500	Scaffold	2014-06-25	JJRR01
GCA_001039765.1	AptMant0	Apteryx mantelli mantelli								1595278775	Contig	2015-06-23	
GCF_001039765.1	AptMant0	Apteryx mantelli mantelli							NCBI Annotation Release 100	1523972539	Contig	2015-06-21	
GCA_000710305.1	ASM71030v1	Buceros rhinoceros silvestris					BGI_N320	male	Annotation submitted by BGI	1065782791	Scaffold	2014-06-25	JMFK01
GCF_000710305.1	ASM71030v1	Buceros rhinoceros silvestris					BGI_N320	male	NCBI Annotation Release 100	1065782791	Scaffold	2014-06-25	JMFK01
GCA_022605575.1	bLatJam1.0.p	Laterallus jamaicensis coturniculus					168171201	female		1391388821	Scaffold	2022-03-17	JAKCOX01
GCA_022577445.1	bPasSan1.0.p	Passerculus sandwichensis alaudinus					FMNH 499929	male		1152275337	Scaffold	2022-03-15	JAKOOL01
GCA_023055505.1	bCalCai1.0.p	Callipepla californica brunnescens					MVZ:Bird:193975	male		1085331016	Scaffold	2022-05-05	JALIRH01
GCA_021164005.1	ASM2116400v1	Willisornis vidua nigrigula					JTW1144	male		1109653187	Scaffold	2021-12-10	JAJPCS01
GCA_001655095.1	GWvir1.0	Phylloscopus trochiloides viridanus					TL2			1003330590	Scaffold	2016-06-02	LXPA01
GCA_023637945.1	DD_ASM_B1	Phaethornis superciliosus					PSU5	male		1020112811	Scaffold	2022-06-01	JAJQWJ01
GCA_023055355.1	bAgeTri1.0.p	Agelaius tricolor					1412-34295	female		1157591681	Scaffold	2022-04-19	JALJCS01
GCA_028551555.1	PUWL_Pcris_2	Melozone crissalis		CALT		California		female		1412182309	Contig	2023-02-08	JAQBSC01
GCF_028551555.1	PUWL_Pcris_2	Melozone crissalis		CALT		California		female	GCF_028551555.1-RS_2023_03	1412182309	Contig	2023-02-08	JAQBSC01
GCA_026119805.1	pur_lepc_1.0	Tympanuchus pallidicinctus					F22	male		994352574	Scaffold	2022-11-10	JAPCYR01
GCF_026119805.1	pur_lepc_1.0	Tympanuchus pallidicinctus					F22	male	GCF_026119805.1-RS_2023_02	994352574	Scaffold	2022-11-10	JAPCYR01
GCA_004360235.1	ASM436023v1	Grus nigricollis					BSYUE-LAB-201903	female		1230910289	Scaffold	2019-03-22	SMUU01
GCA_947846985.1	FratArc_v3	Fratercula arctica								1215066582	Scaffold	2023-02-03	CANTUZ01
GCA_025592945.1	ASM2559294v1	Manacus candei				Guabito, Panama	608988			1121284527	Contig	2022-10-05	JANKJQ01
GCF_025592945.1	ASM2559294v1	Manacus candei				Guabito, Panama	608988		GCF_025592945.1-RS_2023_02	1121284527	Contig	2022-10-05	JANKJQ01
GCA_013433245.1	TAMU_Btm_v1.0	Ara glaucogularis				Bolivia		male		1139702960	Scaffold	2020-07-21	JACACR01
GCA_021292215.1	ASM2129221v1	Lophura nycthemera					School of Life Sciences, Shaanxi Normal University, China, voucher number B10			1014408745	Scaffold	2021-12-27	JADANK01
GCA_029207755.1	bChaFas1.0.hap1	Chamaea fasciata				frontalis	MVZ Bird 193981	female		1194528561	Scaffold	2023-03-14	JARCOQ01
GCA_028554395.1	APGP_CSIRO_Pwel_v1	Pezoporus wallicus				Strahan	ANWC-B61680	male		1141458063	Contig	2023-02-08	JAPVOL01
GCF_028554395.1	APGP_CSIRO_Pwel_v1	Pezoporus wallicus				Strahan	ANWC-B61680	male	GCF_028554395.1-RS_2023_06	1141458063	Contig	2023-02-08	JAPVOL01
GCA_023333565.1	ASM2333356v1	Puffinus mauretanicus				Black plumage	G18SaCella			1218519395	Scaffold	2022-05-11	JAJKFH01
GCA_003945595.2	ASM394559v2	Pipra filicauda					LSUMZ 115617	male		1081944082	Scaffold	2020-12-01	PYIH02
GCF_003945595.2	ASM394559v2	Pipra filicauda					LSUMZ 115617	male	NCBI Annotation Release 101	1081944082	Scaffold	2020-12-01	PYIH02
GCA_003945725.1	ASM394572v1	Corapipo altera					COAL_440	female		1095745976	Scaffold	2018-12-14	RXGC01
GCF_003945725.1	ASM394572v1	Corapipo altera					COAL_440	female	NCBI Annotation Release 100	1095745976	Scaffold	2018-12-14	RXGC01
GCA_013372525.1	Fatr_1.0	Fulica atra					Lodz_15173			1167597722	Scaffold	2020-06-24	JABXFB01
GCA_003984885.2	ASM398488v2	Neopelma chrysocephalum						female		1142796179	Scaffold	2018-12-28	RDMT01
GCF_003984885.1	ASM398488v2	Neopelma chrysocephalum						female	NCBI Annotation Release 100	1142796179	Scaffold	2018-12-28	RDMT01
GCA_017310255.1	ASM1731025v1	Butorides virescens					ROMO101590	male		1194621758	Contig	2021-03-09	JADKXX01
GCA_006130075.1	GSC_cangoose_1.0	Branta canadensis					SJ_97			1153386549	Scaffold	2019-06-05	SNRU01
GCA_017315185.1	ASM1731518v1	Bubo scandiacus						female		1251897436	Scaffold	2021-03-09	JADKXW01
GCA_030449065.1	OLeu_1.0	Oceanodroma leucorhoa						male		1195518234	Scaffold	2023-07-13	JASVER01
GCA_008694505.1	ASM869450v1	Cyanoderma ruficeps					SRU082	female		1041446934	Scaffold	2019-09-25	VZDJ01
GCA_019232065.1	USGS_Curo_1.0	Centrocercus urophasianus					14NV4802_14NV808	female		1010657860	Scaffold	2021-07-15	JAHKSY01
GCF_019232065.1	USGS_Curo_1.0	Centrocercus urophasianus					14NV4802_14NV808	female	NCBI Annotation Release 100	1010657860	Scaffold	2021-07-15	JAHKSY01
GCA_016647715.1	ASM1664771v1	Pavo muticus					YNLC101	female		1061110005	Scaffold	2021-01-15	JACDJE01
GCA_019593555.1	cma1	Crossoptilon mantchuricum				Shanxi		female		1013441081	Scaffold	2021-08-13	JACSYN01
GCA_019232035.1	ASM1923203v1	Cygnus buccinator					WWS_Y101	female		1183613454	Scaffold	2021-07-15	JAHMHU01
GCA_002218305.1	ASM221830v1	Callipepla squamata		Texas				female	Annotation submitted by Texas A&M University	1045281893	Scaffold	2017-07-13	MCFN01
GCA_002849675.1	ASM284967v1	Acridotheres javanicus					NGS004			1051582182	Scaffold	2018-01-02	PEJO01
GCA_010078415.1	BGI_Pant.V1	Pygoscelis antarcticus					CP TH 060		Annotation submitted by BGI-Shenzhen	1260447050	Scaffold	2020-01-31	VUKZ01
GCA_013398375.1	ASM1339837v1	Aphelocoma coerulescens					OUT-0022	male	Annotation submitted by B10K Consortium	1060855343	Scaffold	2020-07-10	VZSI01
GCA_008711295.1	ASM871129v1	Charadrius alexandrinus					SYSb1531	female		1231940710	Scaffold	2019-09-27	VUYV01
GCA_024432695.1	Barbary10X.pri	Falco pelegrinoides					JW_2022b	female		1153798512	Scaffold	2022-07-25	JALPQW01
GCA_003342815.1	eudEle1	Eudromia elegans					44215	male		955514612	Scaffold	2018-07-26	PTEX01
GCA_025504685.1	ASM2550468v1	Leucosticte australis				Colorado	BCRF_DMNS_52416			1039588477	Scaffold	2022-10-03	JANIJU01
GCA_003342985.1	aptHaa1	Apteryx haastii					R29945	male		1221441152	Scaffold	2018-07-26	PTFD01
GCA_024734555.1	CL100093368_L02	Trochalopteron elliotii					SNJ08157			1113241506	Scaffold	2022-08-23	JANPWX01
GCA_013398635.1	ASM1339863v1	Copsychus sechellarum					OUT-0061	female	Annotation submitted by B10K Consortium	1052094435	Scaffold	2020-07-10	WBNE01
GCA_003435085.1	NTU_Smik_1.2	Syrmaticus mikado					TWDZ01	female		1066426119	Scaffold	2018-08-31	QGNR01
GCA_024430995.1	CommonKestrel10X.pri	Falco tinnunculus					JW_2022h	female		1134479392	Scaffold	2022-07-25	JALPQK01
GCA_014363365.1	L_rothschildi_scaffold_01	Leucopsar rothschildi								999682512	Scaffold	2020-08-22	BMBG01
GCA_003342845.1	notPer1	Nothoprocta perdicaria					Ctin4	male		965904370	Scaffold	2018-07-26	PTEW01
GCF_003342845.1	notPer1	Nothoprocta perdicaria					Ctin4	male	NCBI Annotation Release 100	965904370	Scaffold	2018-07-26	PTEW01
GCA_003343005.1	rheAme1	Rhea americana					MKP2758	male		1160836514	Scaffold	2018-07-26	PTEV01
GCA_014363185.1	H_pelagicus_scaffold_01	Haliaeetus pelagicus								1175967700	Scaffold	2020-08-22	BMBF01
GCA_003031625.1	ASM303162v1	Empidonax traillii				Southwest subspecies	1590-97213			1123485537	Scaffold	2018-04-03	PWAB01
GCF_003031625.1	ASM303162v1	Empidonax traillii				Southwest subspecies	1590-97213		NCBI Annotation Release 100	1123485537	Scaffold	2018-04-03	PWAB01
GCA_013397395.1	ASM1339739v1	Sinosuthora webbiana					B10K-DU-002-08	female	Annotation submitted by B10K Consortium	1050295543	Scaffold	2020-07-10	VXBN01
GCA_024635365.1	ASM2463536v1	Aix galericulata					NCHU-2012	female	Annotation submitted by Academia Sinica	1079824113	Scaffold	2022-08-16	JALLAJ01
GCA_023375905.1	ASM2337590v1	Nycticorax nycticorax		Nhe1				female		1179028144	Scaffold	2022-05-16	JAKFQP01
GCA_013398195.1	ASM1339819v1	Caloenas nicobarica					OUT-0007	female	Annotation submitted by B10K Consortium	1025545389	Scaffold	2020-07-10	VZSB01
GCA_003546035.1	ASM354603v1	Mixornis gularis					PRS3255	female		1036102025	Scaffold	2018-09-11	QVAJ01
GCA_004320225.1	Bubo blakistoni_ver1.0	Bubo blakistoni								1193862756	Scaffold	2019-02-16	BJCB01
GCA_004320125.1	Scolopax mira_ver1.0	Scolopax mira								1091292641	Scaffold	2019-02-15	BJBW01
GCA_028554615.1	bRalCre1.1	Rallus crepitans					B-95207	female		1107478361	Scaffold	2023-02-09	JAQOTC01
GCA_012487455.1	Nnipalensis_1.0	Nisaetus nipalensis								1200029769	Scaffold	2020-04-08	BJES01
GCA_013398595.1	ASM1339859v1	Cercotrichas coryphoeus					OUT-0024		Annotation submitted by B10K Consortium	1029849930	Scaffold	2020-07-10	WBND01
GCA_009812075.1	Ss_LA_1.0	Sialia sialis		Louisiana				female		958522825	Scaffold	2019-12-31	VRYO01
GCA_013397515.1	ASM1339751v1	Upupa epops					B10K-DU-012-37	male	Annotation submitted by B10K Consortium	972138363	Scaffold	2020-07-10	VZRI01
GCA_013398335.1	ASM1339833v1	Nothoprocta ornata					B10K-MSB-03	female	Annotation submitted by B10K Consortium	978286010	Scaffold	2020-07-10	VZSH01
GCA_013399995.1	ASM1339999v1	Oenanthe oenanthe					B10K-DU-001-74	female	Annotation submitted by B10K Consortium	1001836003	Scaffold	2020-07-10	VXBF01
GCA_025802055.1	ASM2580205v1	Pica pica					IRGN ZRRJ9FKBKA			1064369002	Scaffold	2022-10-23	JAOYNA01
GCA_025504755.1	ASM2550475v1	Buteo buteo								1210975031	Scaffold	2022-09-30	JANVCR01
GCA_014363385.1	P_albatrus_scaffold_01	Phoebastria albatrus								1165200156	Scaffold	2020-08-22	BMBH01
GCA_018403395.1	G_goisagi_scaffold_01	Gorsachius goisagi								1188079666	Scaffold	2021-03-31	BOSO01
GCA_027560215.1	ASM2756021v1	Halcyon smyrnensis					5EJ5G1TQ7V			1151795822	Scaffold	2023-01-03	JANHFZ01
GCA_013389905.1	ASM1338990v1	Sula dactylatra					B10K-DU-002-49	female	Annotation submitted by B10K Consortium	1136665023	Scaffold	2020-07-06	WEKW01
GCA_028565035.1	ASM2856503v1	Garrulus glandarius					IRGN GQC7HWLLHX			1106508028	Scaffold	2023-02-09	JAOXOD01
GCA_012487855.1	Gmonacha_1.0	Grus monacha								1182186797	Scaffold	2020-04-08	BJET01
GCA_028565315.1	ASM2856531v1	Scolopax rusticola					UWBM 47280			1109114366	Scaffold	2023-02-09	JAOWAS01
GCA_027575065.1	ASM2757506v1	Haliastur indus					ANSP 24515			1206806020	Scaffold	2023-01-06	JANZXX01
GCA_017612475.1	CCG_JAWE_1.0	Zosterops japonicus					GRLB			1104389468	Scaffold	2021-03-29	JABUOJ01
GCA_013398735.1	ASM1339873v1	Nothocercus julius					B10K-MSB-01	female	Annotation submitted by B10K Consortium	1019400681	Scaffold	2020-07-10	VZSV01
GCA_002224875.1	ASM222487v1	Anas zonorhyncha	spot-billed					female		1310797575	Scaffold	2017-07-25	NOIK01
GCA_012488435.1	Gvipio_1.0	Antigone vipio								1181556295	Scaffold	2020-04-08	BJEU01
GCA_000691975.1	ASM69197v1	Corvus brachyrhynchos					BGI_N302	female	Annotation submitted by BGI	1091312783	Scaffold	2014-06-02	JMFN01
GCF_000691975.1	ASM69197v1	Corvus brachyrhynchos					BGI_N302	female	NCBI Annotation Release 101	1091312783	Scaffold	2014-06-02	JMFN01
GCA_000703405.1	ASM70340v1	Apaloderma vittatum					BGI_N311	male	Annotation submitted by BGI	1070836417	Scaffold	2014-06-16	JMFV01
GCF_000703405.1	ASM70340v1	Apaloderma vittatum					BGI_N311	male	NCBI Annotation Release 100	1070836417	Scaffold	2014-06-16	JMFV01
GCA_024363155.1	ASM2436315v1	Aquila nipalensis					KU 119895			1248418760	Scaffold	2022-07-21	JANCNU01
GCA_002631895.1	ASM263189v1	Agapornis roseicollis					lovebird_dirk_2015_01	male		1121789902	Scaffold	2017-10-23	NDXB01
GCA_000692075.1	ASM69207v1	Opisthocomus hoazin					BGI_N306	female	Annotation submitted by BGI	1203712246	Scaffold	2014-05-19	JMFL01
GCF_000692075.1	ASM69207v1	Opisthocomus hoazin					BGI_N306	female	NCBI Annotation Release 100	1203712246	Scaffold	2014-05-19	JMFL01
GCA_024582635.1	ASM2458263v1	Todiramphus saurophagus					IRGN 2T7VB64F69			1202724839	Scaffold	2022-08-06	JANIMW01
GCA_027560015.1	ASM2756001v1	Chloroceryle amazona					GZCI2S7TMW			1110454235	Scaffold	2023-01-03	JANHFX01
GCA_030412475.1	ASM3041247v1	Luscinia luscinia					LL19			5536017	Scaffold	2023-07-05	JAOYSP01
GCA_000690835.1	ASM69083v1	Fulmarus glacialis					BGI_N327	male	Annotation submitted by BGI	1141395646	Scaffold	2014-05-13	JJRN01
GCF_000690835.1	ASM69083v1	Fulmarus glacialis					BGI_N327	male	NCBI Annotation Release 100	1141395646	Scaffold	2014-05-13	JJRN01
GCA_014362685.1	C_cygnus_scaffold_01	Cygnus cygnus								1052375201	Scaffold	2020-08-22	BMBB01
GCA_002289315.1	UriLom_1.1	Uria lomvia				Coats Island		female		1179358714	Scaffold	2017-09-11	NOXD01
GCA_000691785.1	ASM69178v1	Leptosomus discolor					BGI_N330	male	Annotation submitted by BGI	1136244952	Scaffold	2014-05-23	JJRK01
GCF_000691785.1	ASM69178v1	Leptosomus discolor					BGI_N330	male	NCBI Annotation Release 100	1136244952	Scaffold	2014-05-23	JJRK01
GCA_027564115.1	ASM2756411v1	Ceyx argentatus					2ZV5HKAGE4			971617043	Scaffold	2023-01-03	JANITY01
GCA_000690875.1	ASM69087v1	Gavia stellata					BGI_N328	male	Annotation submitted by BGI	1129677294	Scaffold	2014-05-13	JJRM01
GCF_000690875.1	ASM69087v1	Gavia stellata					BGI_N328	male	NCBI Annotation Release 100	1129677294	Scaffold	2014-05-13	JJRM01
GCA_013401275.1	ASM1340127v1	Pandion haliaetus					B10K-DU-012-58	male	Annotation submitted by B10K Consortium	1147624024	Scaffold	2020-07-10	VYZV01
GCA_002870145.1	P.krameri1.0	Psittacula krameri					jrs2016	female		1417809960	Scaffold	2018-01-09	NFZL01
GCA_024611195.1	ASM2461119v1	Ceyx melanurus					26BR11BSXK			933633403	Scaffold	2022-08-10	JANHGL01
GCA_014363165.1	F_cirrhata_scaffold_01	Fratercula cirrhata								1105963355	Scaffold	2020-08-22	BMBE01
GCA_025447755.1	ASM2544775v1	Corythornis vintsioides					MG7ISKC98Q			997287905	Scaffold	2022-09-27	JAOEGS01
GCA_010014965.2	ASM1001496v2	Pyrrhura griseipectus					9DNWD0V6IF			1155745295	Scaffold	2022-07-29	JAAAKS02
GCA_004320165.1	Dendrocopos noguchii_ver1.0	Dendrocopos noguchii								1134561427	Scaffold	2019-02-16	BJBY01
GCA_027560095.1	ASM2756009v1	Chloroceryle inda					XSDVVHHFKO			1098818303	Scaffold	2023-01-03	JANHFY01
